px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor
10.0262	20.9607	4.85892	-2.98933	0.53812	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463	1.01995	R
9.83831	20.9194	4.77215	-2.95928	0.543195	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327	1.6298	L
9.61062	20.907	4.71428	-2.95537	0.503723	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189	2.37892	R
9.42106	20.8542	4.64468	-2.92488	0.510522	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977	0.852829	L
9.20447	20.8109	4.63141	-2.9016	0.509328	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362	1.43803	R
8.90231	20.7817	4.76083	-2.89371	0.489011	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605	2.57412	L
8.69141	20.7019	4.73467	-2.85942	0.500949	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372	4.33798	R
8.40791	20.62	4.83101	-2.83548	0.497987	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701	2.89744	L
8.18007	20.5401	4.83589	-2.80748	0.50306	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542	0.0667824	R
7.93497	20.4604	4.86494	-2.78537	0.49944	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237	0.149257	L
7.7188	20.3749	4.87471	-2.75451	0.513189	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781	3.41802	R
7.40128	20.3175	5.01767	-2.75559	0.483428	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717	3.45516	L
7.16858	20.2216	5.00909	-2.73415	0.477623	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399	0.245556	R
6.90146	20.1384	5.0658	-2.72284	0.463879	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462	0.615793	L
6.67666	20.0471	5.03769	-2.70654	0.453145	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357	0.565472	R
6.42845	19.955	5.06571	-2.69312	0.443334	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079	0.30132	L
6.21255	19.8617	5.03924	-2.67577	0.438517	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625	2.92675	R
5.94794	19.7675	5.09545	-2.66839	0.422868	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993	0.728352	L
5.71325	19.6238	5.15474	-2.63438	0.444271	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178	1.7723	R
5.54376	19.5	5.06768	-2.60299	0.455047	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418	1.58289	L
5.34155	19.3516	5.06181	-2.57101	0.466432	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995	1.75874	R
5.13112	19.2494	5.0411	-2.55931	0.455036	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622	1.98987	L
4.94506	19.1367	4.9554	-2.54589	0.438739	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059	4.70775	R
4.78617	18.9867	4.89351	-2.51124	0.452957	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305	0.704571	L
4.57513	18.8368	4.94346	-2.48756	0.458514	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359	1.52125	R
4.40017	18.7055	4.90133	-2.46654	0.457402	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422	1.1197	L
4.22348	18.5625	4.84013	-2.44868	0.446227	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888	1.27981	R
4.1022	18.4093	4.74798	-2.41122	0.463923	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362	1.83309	L
3.9109	18.2377	4.87067	-2.37853	0.488408	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644	7.36286	R
3.65052	18.0946	4.96816	-2.38592	0.452881	3.45919	18.167	3.65611	18.0807	-3.77339	-3.33732	2.68276	L
3.49312	17.9439	4.87494	-2.36933	0.43926	4.3011	17.9267	3.46891	17.9122	-3.71795	-3.40627	3.40244	R
3.26277	17.7758	4.94908	-2.36507	0.419067	3.12525	17.7493	3.28449	17.7402	-3.66215	-3.47331	1.22007	L
3.07803	17.5927	5.01757	-2.33883	0.432571	2.65664	17.888	3.10287	17.565	-3.60609	-3.53844	2.31699	R
2.90306	17.4744	4.9657	-2.33583	0.414054	2.9449	17.8154	2.92405	17.3866	-3.54982	-3.60167	6.20583	L
2.75323	17.2595	5.03484	-2.29169	0.44961	3.26647	17.0897	2.74805	17.2051	-3.49344	-3.66302	3.03762	R
2.57795	17.0727	5.04578	-2.27373	0.444641	2.55407	17.0853	2.57486	17.0205	-3.437	-3.72251	0.0465535	L
2.41862	16.9067	4.94595	-2.26599	0.419069	2.55039	16.8884	2.4045	16.833	-3.38059	-3.78014	2.1523	R
2.25588	16.7344	4.93562	-2.25199	0.411961	2.25371	16.8334	2.23695	16.6427	-3.32428	-3.83595	0.520346	L
2.0838	16.5381	4.91804	-2.2412	0.394629	1.57735	16.0489	2.07221	16.4497	-3.26812	-3.88995	4.94839	R
1.92662	16.3079	4.96179	-2.2145	0.40113	1.88972	16.1054	1.91027	16.254	-3.21219	-3.94216	2.22089	L
1.77579	16.1315	4.89831	-2.20592	0.383024	1.74362	16.2687	1.75112	16.0557	-3.15656	-3.99261	1.02165	R
1.5711	15.962	4.93915	-2.21451	0.352979	1.44745	16.0853	1.59474	15.8549	-3.10129	-4.04132	1.84916	L
1.43798	15.7318	5.0165	-2.17837	0.381131	1.6097	15.5526	1.44111	15.6517	-3.04644	-4.08832	1.9621	R
1.26407	15.5125	5.06641	-2.16782	0.371258	1.18395	15.4284	1.29021	15.4463	-2.99207	-4.13364	0.762137	L
1.10967	15.3197	5.04194	-2.16028	0.356668	0.828993	15.528	1.14201	15.2386	-2.93825	-4.1773	1.02879	R
0.896049	15.0988	5.13564	-2.16672	0.329329	0.722706	15.0075	0.996486	15.0288	-2.88503	-4.21933	2.32857	L
0.756173	14.9191	5.04271	-2.16254	0.308919	1.03147	15.2134	0.853604	14.8169	-2.83246	-4.25977	2.65414	R
0.654732	14.7062	5.00536	-2.13315	0.324256	0.737301	14.7047	0.71333	14.603	-2.78061	-4.29864	0.441123	L
0.537954	14.4655	5.06889	-2.10091	0.347663	0.722177	14.2445	0.575628	14.3872	-2.72952	-4.33598	1.68643	R
0.362991	14.2418	5.12466	-2.10025	0.329025	0.253435	14.2029	0.440459	14.1696	-2.67925	-4.37181	0.84536	L
0.232497	13.9893	5.2409	-2.07107	0.352742	-0.0328023	13.9604	0.307779	13.9502	-2.62984	-4.40617	2.79717	R
0.219421	13.7433	5.14728	-2.01005	0.400475	0.459172	13.6856	0.177545	13.7292	-2.58135	-4.43909	3.92056	L
0.110785	13.5	5.20406	-1.98554	0.409904	0.0524412	13.6377	0.0497099	13.5065	-2.53381	-4.47061	0.895773	R
-0.0543063	13.2667	5.25544	-1.98961	0.382513	-0.190344	13.2856	-0.0757753	13.2823	-2.48728	-4.50075	1.22182	L
-0.170365	13.0493	5.18411	-1.98307	0.363061	-0.275043	13.1456	-0.198962	13.0566	-2.44179	-4.52955	1.21448	R
-0.172785	12.827	5.07739	-1.92951	0.40342	0.0462308	12.9301	-0.319903	12.8295	-2.39739	-4.55704	3.64349	L
-0.286727	12.602	5.01673	-1.92628	0.378385	-0.684792	12.3563	-0.438654	12.6011	-2.35412	-4.58326	3.32622	R
-0.404497	12.3663	5.0429	-1.9202	0.363872	-0.476482	12.3633	-0.555273	12.3714	-2.31202	-4.60823	0.335224	L
-0.521588	12.1582	4.99302	-1.92203	0.338317	-0.972122	12.5207	-0.669818	12.1404	-2.27111	-4.63198	3.73368	R
-0.598656	11.9407	4.96531	-1.90481	0.339178	-0.582624	12.0386	-0.78235	11.9083	-2.23144	-4.65456	0.517566	L
-0.718887	11.7122	4.96401	-1.90695	0.315452	-1.26757	11.6495	-0.892931	11.6751	-2.19304	-4.67598	2.83211	R
