px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor
12.7671	2.06439	5.07001	0.321859	0.187809	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485	2.89551	L
13.0068	2.14559	5.07001	0.331249	0.187809	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701	6.92448e-310	R
13.1947	2.29762	5.01585	0.375064	0.22464	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	1.62114	L
13.4272	2.39068	5.01585	0.386296	0.22464	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	6.92448e-310	R
13.7093	2.53257	5.12435	0.41019	0.237681	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	1.56574	L
13.9433	2.636	5.12435	0.422074	0.237681	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	6.92448e-310	R
14.1823	2.81238	5.17546	0.461672	0.267323	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	1.19509	L
14.4129	2.92904	5.17546	0.475038	0.267323	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	6.92448e-310	R
14.5904	3.00308	5.06226	0.478186	0.256892	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	1.63354	L
14.8141	3.12084	5.06226	0.491031	0.256892	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	6.92448e-310	R
15.0269	3.33403	5.11265	0.542193	0.298479	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	2.03611	L
15.2446	3.46739	5.11265	0.557117	0.298479	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	6.92448e-310	R
15.474	3.68025	5.19326	0.599206	0.327783	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	1.63318	L
15.687	3.82825	5.19326	0.615595	0.327783	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	6.92448e-310	R
15.9215	3.98481	5.23456	0.628946	0.32415	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	0.214123	L
